a52dec 0.7.4-8
aalib 1.4rc5-11
abs 2.4.4-2
accountsservice 0.6.40-1
acl 2.2.52-2
acpid 2.0.26-1
adwaita-icon-theme 3.18.0-1
alsa-lib 1.1.0-1
alsa-plugins 1.1.0-2
alsa-utils 1.1.0-1
apr 1.5.2-1
apr-util 1.5.4-1
archey3 0.5-4
archlinux-keyring 20160215-1
artwiz-fonts 1.3-8
asciidoc 8.6.9-2
aspell 0.60.6.1-4
at-spi2-atk 2.18.1-1
at-spi2-core 2.18.3-1
atk 2.18.0-1
atkmm 2.24.2-2
attr 2.4.47-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32-1
awesome 3.5.8-1
b43-firmware 5.100.138-2
b43-fwcutter 019-1
bash 4.3.042-4
bc 1.06.95-1
binutils 2.26-2
bison 3.0.4-1
blas 3.6.0-4
bluez 5.37-2
bluez-utils 5.37-2
boost 1.60.0-2
boost-libs 1.60.0-2
broadcom-wl-dkms 6.30.223.271-5
bzip2 1.0.6-5
bzr 2.7.0-1
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.22.1-1
ca-certificates-utils 20150402-1
cairo 1.14.6-1
cairo-compmgr-git 1:0.3.1.57.g416ae1a-3
cairo-perl 1.106-1
cairomm 1.12.0-2
calc 2.12.5.3-1
cantarell-fonts 1:0.0.24-1
caribou 0.4.19-2
cblas 3.6.0-4
cdparanoia 10.2-5
cfitsio 3.370-3
chromium 49.0.2623.75-1
chrpath 0.16-1
cifs-utils 6.4-1
cinnamon-control-center 2.8.1-1
cinnamon-desktop 2.8.0-1
cinnamon-menus 2.8.0-1
cinnamon-settings-daemon 2.8.3-1
cinnamon-translations 2.8.3-1
cjs 2.8.0-2
clutter 1.24.2-1
clutter-gtk 1.6.6-1
cmake 3.4.3-1
cogl 1.22.0-1
colord 1.2.12-1
compositeproto 0.4.2-3
compton-conf 0.1.0-3
confuse 2.8-2
conky 1.10.1-2
coreutils 8.25-1
cracklib 2.9.4-1
cryptsetup 1.7.0-2
ctemplate 2.3-3
curl 7.47.1-1
d-feet 0.3.10-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.6-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.24.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.141-1
dhclient 4.3.3.p1-1
dhcpcd 6.10.1-1
dialog 1:1.3_20160209-1
diffutils 3.3-2
ding-libs 0.5.0-1
dkms 2.2.0.3+git151023-5
dmenu2 0.2-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dotconf 1.3-4
dri2proto 2.8-2
dri3proto 1.0-1
dzen2 0.9.5git-5
e2fsprogs 1.42.13-1
elfutils 0.165-1
enchant 1.6.0-7
exempi 2.2.2-2
expat 2.1.0-4
faenza-cupertino-icon-theme 1:9-3
faenza-icon-theme 1.3.1-4
fakeroot 1.20.2-1
feh 2.14.2-1
ffmpeg2.8 2.8.6-1
fftw 3.3.4-1
file 5.25-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 44.0.2-2
firefox-developer 43.0a2-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.569-1
flex 2.6.0-2
font-bh-ttf 1.0.3-3
fontconfig-infinality 2.11.94-2
fontconfig-ttf-ms-fonts 1.0-2
fontforge 20150824-1
fontsproto 2.1.3-1
freetype2-infinality 2.6-2
fribidi 0.19.7-1
fuse 2.9.5-1
gawk 4.1.3-1
gc 7.4.2-4
gcc 5.3.0-5
gcc-libs 5.3.0-5
gconf 3.2.6-3
gcr 3.18.0-1
gd 2.1.1-3
gdal 2.0.2-2
gdbm 1.11-1
gdk-pixbuf2 2.32.3-1
geoclue2 2.4.1-1
geos 3.5.0-2
gettext 0.19.7-1
ghostscript 9.18-6
giflib 5.1.2-1
git 2.7.2-1
glib 1.2.10-12
glib-networking 2.46.1-1
glib-perl 1.308-1
glib2 2.46.2-4
glibc 2.23-1
glibmm 2.46.3-1
glproto 1.4.17-1
gmp 6.1.0-3
gnome-backgrounds 3.18.0-1
gnome-desktop 1:3.18.2-1
gnome-doc-utils 0.20.10-2
gnome-icon-theme 3.12.0-3
gnome-icon-theme-extras 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-3
gnome-keyring 1:3.18.3-1
gnome-mime-data 2.18.0-7
gnome-perl 1.045-3
gnome-terminal 3.18.2-1
gnome-themes-standard 3.18.0-1
gnome-vfs 2.24.4-9
gnome-vfs-perl 1.082-3
gnomecanvas-perl 1.002-13
gnupg 2.1.11-1
gnutls 3.4.9-1
go 2:1.6-1
gobject-introspection 1.46.0-1
gobject-introspection-runtime 1.46.0-1
goocanvas1 1.0.0-3
google-chrome 45.0.2454.101-1
gpgme 1.6.0-2
gpm 1.20.7-6
graphite 1:1.3.6-1
grep 2.23-1
groff 1.22.3-5
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.18.1-1
gsfonts 20150811-1
gsm 1.0.14-1
gssproxy 0.4.1-1
gst-plugins-base 1.6.3-1
gst-plugins-base-libs 1.6.3-1
gst-plugins-good 1.6.3-1
gst-plugins-ugly 1.6.3-1
gst-python2 1.6.2-2
gstreamer 1.6.3-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-good 0.10.31-10
gstreamer0.10-good-plugins 0.10.31-10
gstreamer0.10-python 0.10.22-2
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk 1.2.10-15
gtk-doc 1.24-1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.18.8-1
gtk2 2.24.29-1
gtk2-perl 1.2497-1
gtk3 3.18.8-1
gtkimageview 1.6.4-4
gtkmm 2.24.4-2
guile 2.0.11-3
gvfs 1.26.3-1
gvim 7.4.1386-1
gzip 1.6-1
harfbuzz 1.2.3-1
harfbuzz-icu 1.2.3-1
hdf5 1.8.15_patch1-1
heroku-client-standalone 3.42.29-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.0-2
http-parser 2.6.1-1
hunspell 1.3.4-1
hunspell-en 2016.01.19-1
hwids 20150717-1
hyphen 2.8.8-1
i3lock 2.7-1
i3status 2.10-1
iana-etc 20151016-1
icu 56.1-2
imagemagick 6.9.3.0-1
imlib2 1.4.7-1
inetutils 1.9.4-2
inputproto 2.3.1-1
intltool 0.51.0-1
iproute2 4.1.1-1
iptables 1.4.21-3
iputils 20150815.1c59920-3
iso-codes 3.65-1
itstool 2.0.2-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-14
java-runtime-common 2-2
jemalloc 4.1.0-1
jfsutils 1.1.15-4
jre8-openjdk 8.u74-1
jre8-openjdk-headless 8.u74-1
js 24.2.0-3
js17 17.0.0-3
json-c 0.12-2
json-glib 1.0.4-1
jsoncpp 1.6.5-3
kbd 2.0.3-1
kbdlight 1.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 22-1
krb5 1.13.2-1
lame 3.99.5-3
lapack 3.6.0-4
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.24-1
ldns 1.6.17-3
less 481-2
libaio 0.3.110-1
libantlr3c 3.4-1
libarchive 3.1.2-8
libart-lgpl 2.3.21-3
libass 0.13.2-1
libassuan 2.4.2-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.2-1
libbonobo 2.32.1-4
libbonoboui 2.24.5-3
libbsd 0.8.2-2
libcaca 0.99.beta19-1
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.25-1
libcap-ng 0.7.7-1
libcddb 1.3.2-4
libcdio 0.93-3
libcdio-paranoia 10.2+0.93+1-1
libconfig 1.5-2
libcroco 0.6.11-1
libcups 2.1.3-1
libcurl-compat 7.46.0-2
libdaemon 0.14-3
libdatrie 0.2.9-1
libdbus 1.10.6-1
libdrm 2.4.67-1
libdv 1.0.0-6
libdvdread 5.0.4-1
libedit 20150325_3.1-2
libelf 0.165-1
libepoxy 1.3.1-1
libev 4.20-1
libevdev 1.4.6-1
libevent 2.0.22-1
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.3-1
libfreexl 1.0.2-1
libgcrypt 1.6.5-1
libgee 0.18.0-1
libgeotiff 1.4.1-2
libglade 2.6.4-5
libglvnd 0.0.0.20160210-2
libgnome 2.32.1-5
libgnome-data 2.32.1-5
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomekbd 3.6.0-2
libgnomeui 2.24.5-2
libgpg-error 1.21-1
libgssglue 0.4-2
libgsystem 2015.2-1
libgudev 230-1
libgusb 0.2.8-1
libibus 1.5.13-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-3
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-1
libinput 1.2.1-1
libiodbc 3.52.9-2
libjpeg-turbo 1.4.2-2
libjpeg6-turbo 1.3.1-1
libkeybinder2 0.3.0-2
libkeybinder3 0.3.0-4
libksba 1.3.3-1
libldap 2.4.43-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.12-2
libmm-glib 1.4.12-1
libmng 2.0.3-1
libmodplug 0.8.8.5-2
libmpc 1.0.3-1
libmpeg2 0.5.1-5
libnautilus-extension 3.18.5-1
libndp 1.5-1
libnewt 0.52.18-3
libnl 3.2.26-1
libnm-glib 1.0.10-2
libnotify 0.7.6-2
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-9
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.21-1
libpng12 1.2.51-1
libproxy 0.4.12-1
libpulse 8.0-3
libraw1394 2.1.1-1
librpcsecgss 0.19-8
librsvg 2:2.40.13-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.4-1
libshout 1:2.4.1-1
libsidplay 1.36.59-7
libsigc++ 2.6.2-1
libsm 1.2.2-2
libsndfile 1.0.26-1
libsodium 1.0.8-1
libsoup 2.52.2-1
